Date,Team,Season,points_allowed,target,RegLog,ArbolDecision,RandomForest,XGB,LGB,MLP,NeuralNet
2023-09-24,CHI,2023,41,0,7.5005e-06,0.0,0.0639657641,0.001615306,0.0001104248,0.0001659765,0.0642843395
2023-10-01,CHI,2023,31,0,0.3133055495,1.0,0.7616371691,0.3922275305,0.4989970441,0.2313043786,0.2198302448
2023-10-05,CHI,2023,20,1,0.9990628481,1.0,0.9144130057,0.9971271157,0.9999540417,0.999388558,0.9520112276
2023-10-15,CHI,2023,19,0,0.0442726202,0.25,0.2156157229,0.1044112742,0.0359597755,0.0654690572,0.0616960637
2023-10-22,CHI,2023,12,1,0.9980382822,1.0,0.9061643495,0.9954724908,0.9999587625,0.9993916836,0.9183062315
2023-10-29,CHI,2023,30,0,0.0062508002,0.0,0.0564233671,0.0026837883,0.0007004777,0.0009453311,0.0643299147
2023-11-05,CHI,2023,24,0,0.1536188178,0.0,0.2527699435,0.0336818732,0.0181890713,0.0332448885,0.0730035454
2023-11-09,CHI,2023,13,1,0.9473598859,0.875,0.8843003121,0.9513759613,0.9735695793,0.9345451942,0.9163604975
2023-11-19,CHI,2023,31,0,0.4754643388,0.0,0.5144288339,0.6361805201,0.8294289766,0.2234176474,0.7595617771
2023-11-27,CHI,2023,10,1,0.7237272146,1.0,0.8023041338,0.90703547,0.8029542801,0.4732535799,0.900513649
2023-12-10,CHI,2023,13,1,0.9982359431,1.0,0.9713713714,0.9903718233,0.9997302763,0.9994899955,0.918302834
2023-12-17,CHI,2023,20,0,0.032576368,0.0,0.1121294205,0.0467746407,0.0257516719,0.0680711211,0.0644866377
2023-12-24,CHI,2023,16,1,0.9965031952,1.0,0.988630618,0.9944526553,0.9995626122,0.99762679,0.918253243
2023-12-31,CHI,2023,17,1,0.9996254635,1.0,0.984930188,0.9978904128,0.9999946172,0.9996850708,0.9183077216
2023-01-07,CHI,2023,17,0,0.2388839321,0.0,0.2872321429,0.3444753289,0.072197444,0.0974761418,0.0866434947
2023-09-10,CIN,2023,24,0,0.0010734939,0.0,0.0513423484,0.0060195918,0.0002359958,0.0010449588,0.064193204
2023-09-17,CIN,2023,27,0,0.0211075051,0.0,0.18620167,0.0257895533,0.0093777531,0.0214433209,0.0652852878
2023-09-25,CIN,2023,16,1,0.7402411914,1.0,0.6390396382,0.670165658,0.9542772489,0.632399606,0.8765749335
2023-10-01,CIN,2023,27,0,0.0003403885,0.0,0.0468269231,0.0042222207,0.0005242641,0.0005009644,0.0642847717
2023-10-08,CIN,2023,20,1,0.8282470908,1.0,0.7774409755,0.9723240137,0.9946295359,0.9919266027,0.9128755927
2023-10-15,CIN,2023,13,1,0.6738338501,1.0,0.7192824968,0.9491238594,0.9840450605,0.9792064812,0.8497486115
2023-10-29,CIN,2023,17,1,0.9902048394,1.0,0.9898122066,0.9975645542,0.999964362,0.9982248003,0.9519770145
2023-11-05,CIN,2023,18,1,0.9897845173,1.0,0.962552719,0.9863911867,0.9989296086,0.9982604314,0.9519919157
2023-11-12,CIN,2023,30,0,0.0326791545,1.0,0.2504735925,0.2286583483,0.1132597019,0.085225348,0.1058613062
2023-11-16,CIN,2023,34,0,0.0016802252,0.0,0.0554591455,0.0217749383,0.0024719734,0.0028499908,0.0642900467
2023-11-26,CIN,2023,16,0,0.162056481,0.0,0.3753494001,0.2415380776,0.0734292141,0.3036893431,0.1216315404
2023-12-04,CIN,2023,31,1,0.3303899964,1.0,0.6276259151,0.4303390682,0.8669981,0.4601119503,0.5700628161
2023-12-10,CIN,2023,14,1,0.9999577774,1.0,0.8687878788,0.9997012019,0.9999987681,0.9998616242,0.9520130754
2023-12-16,CIN,2023,24,1,0.4085450629,1.0,0.6072607023,0.9138249755,0.8889318417,0.8541402156,0.6105876565
2023-12-23,CIN,2023,34,0,0.0002272066,0.0,0.0519200485,0.0101483585,0.000765595,0.0002632922,0.0642846078
2023-12-31,CIN,2023,25,0,0.1582304269,1.0,0.1474438245,0.0520518571,0.0787577615,0.2219914797,0.0926544741
