Season,Team,Date,target,OT,points_scored,points_allowed,pass_yards,pass_touchdowns,interceptions,sacks,pass_yards_per_attempt,pass_completion_ratio,Rate,rush_yards_per_attempt,rush_touchdowns,punts,time_of_possession,extra_points_ratio,field_goal_ratio,third_down_ratio,fourth_down_ratio
2023,CIN,2023-10-01,0,0,3,27,139,0,0,3,5.5,66.7,76.9,4.0,0,5,1515,0.0,1.0,0.2222222222222222,0.0
2023,CIN,2023-10-08,1,0,34,20,287,3,1,3,6.9,78.3,105.3,3.1,0,3,2290,1.0,1.0,0.35714285714285715,0.0
2023,CIN,2023-10-15,1,0,17,13,168,2,1,3,5.3,68.6,86.4,3.1,0,6,1559,1.0,1.0,0.2727272727272727,0.0
2023,CIN,2023-10-29,1,0,31,17,266,3,0,3,8.8,87.5,132.6,5.0,1,3,1883,1.0,0.5,0.375,0.0
2023,CIN,2023-11-05,1,0,24,18,343,2,0,1,7.9,70.5,108.4,2.5,1,3,2198,1.0,1.0,0.5333333333333333,0.5
2023,CIN,2023-11-12,0,0,27,30,314,2,2,4,8.7,67.5,86.9,4.1,1,5,1710,1.0,1.0,0.42857142857142855,1.0
2023,CIN,2023-11-16,0,0,20,34,136,2,0,5,5.5,61.3,92.9,5.9,0,5,1763,1.0,0.6666666666666666,0.18181818181818182,1.0
2023,CIN,2023-11-26,0,0,10,16,197,1,1,4,8.7,73.1,91.3,2.3,0,6,1363,1.0,1.0,0.2,0.0
2023,CIN,2023-12-04,1,1,34,31,335,1,1,2,8.9,84.6,100.3,5.0,3,1,2043,1.0,0.6666666666666666,0.5714285714285714,0.5
2023,CIN,2023-12-10,1,0,34,14,274,2,1,0,11.0,76.0,121.1,3.5,2,4,1912,1.0,1.0,0.2727272727272727,1.0
2023,CIN,2023-12-16,1,1,27,24,298,2,1,5,7.7,69.0,95.1,3.6,1,4,1988,1.0,1.0,0.46153846153846156,1.0
2023,CIN,2023-12-23,0,0,11,34,309,1,3,3,8.0,66.7,66.5,3.7,0,3,1909,0.0,1.0,0.46153846153846156,0.0
2023,CIN,2023-12-31,0,0,17,25,159,1,0,6,6.0,57.6,80.2,3.3,1,4,2057,1.0,1.0,0.5,0.3333333333333333
2023,CIN,2023-01-07,1,0,31,14,145,3,1,3,6.3,75.0,107.0,6.1,1,6,2146,1.0,1.0,0.25,0.0
2023,CLE,2023-09-10,1,0,24,3,144,1,1,3,5.3,55.2,65.9,5.2,1,7,2150,1.0,1.0,0.2857142857142857,0.0
2023,CLE,2023-09-18,0,0,22,26,210,1,1,6,5.9,55.0,67.7,5.7,1,5,2128,0.0,0.6666666666666666,0.3125,0.0
2023,CLE,2023-09-24,1,0,27,3,263,2,0,3,8.8,81.8,120.1,2.5,1,3,2309,1.0,1.0,0.46153846153846156,1.0
2023,CLE,2023-10-01,0,0,3,28,73,0,3,4,3.4,52.8,23.8,3.7,0,8,1810,0.0,1.0,0.25,1.0
2023,CLE,2023-10-15,1,0,19,17,174,0,2,2,5.6,52.9,43.0,4.7,1,4,1983,1.0,0.8,0.23076923076923078,1.0
2023,CLE,2023-10-22,1,0,39,38,166,0,2,2,4.9,43.2,34.3,4.5,3,5,1649,1.0,1.0,0.25,0.5
2023,CLE,2023-10-29,0,0,20,24,230,1,2,3,8.0,50.0,58.1,3.9,1,3,2200,1.0,1.0,0.4,0.0
2023,CLE,2023-11-05,1,0,27,0,213,2,0,1,7.3,63.3,106.7,2.8,1,7,2185,1.0,0.6666666666666666,0.35294117647058826,0.5
2023,CLE,2023-11-12,1,0,33,31,195,1,1,4,6.1,57.1,70.5,4.9,1,2,2055,0.5,1.0,0.5,0.5
2023,CLE,2023-11-19,1,0,13,10,163,0,1,1,3.8,55.8,54.7,3.3,1,8,1887,1.0,1.0,0.23529411764705882,1.0
2023,CLE,2023-11-26,0,0,12,29,162,1,0,4,4.5,47.6,65.8,4.5,0,3,1632,0.0,1.0,0.15384615384615385,0.4
2023,CLE,2023-12-03,0,0,19,36,240,2,1,2,5.8,52.3,74.1,3.8,0,5,2043,0.5,1.0,0.4375,0.0
2023,CLE,2023-12-10,1,0,31,27,307,3,1,1,6.9,57.8,91.6,2.9,1,8,1909,1.0,1.0,0.2222222222222222,1.0
2023,CLE,2023-12-17,1,0,20,17,348,2,3,4,8.4,64.4,75.0,1.6,0,9,1860,1.0,1.0,0.25,1.0
2023,CLE,2023-12-24,1,0,36,22,364,3,2,1,8.5,63.6,93.4,1.8,2,3,2014,1.0,0.0,0.375,0.6666666666666666
2023,CLE,2023-12-28,1,0,37,20,301,3,1,1,10.7,65.5,120.0,4.5,1,3,1689,0.8,1.0,0.5,0.0
2023,CLE,2023-01-07,0,0,14,31,140,2,2,3,6.4,50.0,59.8,4.3,0,7,1454,1.0,0.0,0.18181818181818182,1.0
2023,CLE,2023-01-13,0,0,14,45,268,1,2,4,6.7,73.9,77.1,2.8,1,4,2126,1.0,0.0,0.4666666666666667,0.0
2023,DAL,2023-09-10,1,0,40,0,143,0,0,0,5.7,52.0,69.2,4.1,3,3,1592,0.8,1.0,0.46153846153846156,0.5
2023,DAL,2023-09-17,1,0,30,10,248,2,0,1,6.7,81.6,111.4,3.0,0,3,2535,1.0,1.0,0.5,0.0
2023,DAL,2023-09-24,0,0,16,28,231,1,1,2,6.2,62.5,76.1,5.6,0,2,2073,1.0,1.0,0.5625,0.0
2023,DAL,2023-10-01,1,0,38,3,253,1,0,3,7.8,83.3,105.2,4.1,1,2,2109,1.0,1.0,0.5333333333333333,0.0
2023,DAL,2023-10-08,0,0,10,42,140,1,3,4,6.2,61.5,49.0,3.0,0,5,1375,1.0,1.0,0.36363636363636365,0.0
2023,DAL,2023-10-16,1,0,20,17,246,1,0,5,9.1,70.0,105.7,3.7,1,4,1792,1.0,1.0,0.38461538461538464,0.5
2023,DAL,2023-10-29,1,0,43,20,285,4,1,3,9.0,79.4,128.6,3.9,0,2,2128,1.0,1.0,0.5,1.0
2023,DAL,2023-11-05,0,0,23,28,333,3,0,5,8.5,65.9,111.3,3.5,0,2,1782,1.0,1.0,0.4,0.6
2023,DAL,2023-11-12,1,0,49,17,472,4,2,0,10.7,75.0,120.6,5.1,3,2,2241,1.0,0.0,0.5,0.5
2023,DAL,2023-11-19,1,0,33,10,204,2,0,0,5.0,65.9,94.0,4.0,1,3,1881,0.75,1.0,0.4375,0.0
2023,DAL,2023-11-23,1,0,45,10,331,4,0,0,10.3,68.8,142.1,5.6,1,3,1386,0.8,1.0,0.6,0.0
2023,DAL,2023-11-30,1,0,41,35,275,3,0,4,7.3,70.7,113.4,4.0,1,0,2187,1.0,1.0,0.5714285714285714,0.5
2023,DAL,2023-12-10,1,0,33,13,256,2,0,3,6.9,61.5,97.8,4.3,1,1,2196,1.0,1.0,0.5625,1.0
2023,DAL,2023-12-17,0,0,10,31,106,0,1,3,3.9,61.8,54.3,4.5,1,5,1495,1.0,1.0,0.38461538461538464,0.5
2023,DAL,2023-12-24,0,0,20,22,242,2,0,4,7.9,62.5,106.5,3.9,0,3,1862,1.0,1.0,0.3333333333333333,1.0
2023,DAL,2023-12-30,1,0,20,19,323,2,1,3,9.1,68.4,101.1,2.9,0,4,1764,1.0,1.0,0.5,0.0
2023,DAL,2023-01-07,1,0,38,10,309,4,1,0,7.7,85.0,121.8,4.5,1,0,2035,1.0,0.3333333333333333,0.6,1.0
2023,DAL,2023-01-14,0,0,32,48,387,3,2,4,6.7,68.3,88.7,4.9,1,2,1865,0.5,1.0,0.625,0.0
2023,DEN,2023-09-10,0,0,16,17,166,2,0,2,5.2,79.4,106.6,4.3,0,2,1928,0.5,0.5,0.45454545454545453,0.0
2023,DEN,2023-09-17,0,0,33,35,277,3,1,7,9.6,56.3,103.3,5.3,1,3,1575,1.0,1.0,0.3333333333333333,1.0
2023,DEN,2023-09-24,0,0,20,70,294,1,1,1,8.1,60.5,82.6,3.5,0,5,1599,1.0,1.0,0.25,0.0
2023,DEN,2023-10-01,1,0,31,28,214,3,0,1,8.0,75.0,132.1,5.1,0,4,1571,1.0,1.0,0.5454545454545454,0.0
2023,DEN,2023-10-08,0,0,21,31,169,2,0,4,6.3,64.5,100.1,6.3,0,4,1524,1.0,1.0,0.4,0.0
2023,DEN,2023-10-12,0,0,8,19,82,1,2,4,4.3,59.1,44.1,5.0,0,5,1451,0.0,0.0,0.4,0.0
2023,DEN,2023-10-22,1,0,19,17,194,1,0,1,6.7,69.0,98.9,5.8,0,3,1703,1.0,1.0,0.4166666666666667,0.0
2023,DEN,2023-10-29,1,0,24,9,87,3,0,6,6.0,63.2,113.4,3.8,0,4,2027,1.0,0.5,0.42857142857142855,0.0
2023,DEN,2023-11-13,1,0,24,22,178,2,0,4,6.7,82.8,115.2,3.2,0,5,2241,0.0,1.0,0.42105263157894735,1.0
2023,DEN,2023-11-19,1,0,21,20,249,1,0,2,7.4,77.1,105.5,3.1,0,4,1502,0.0,1.0,0.16666666666666666,1.0
2023,DEN,2023-11-26,1,0,29,12,125,1,0,1,6.1,59.1,90.2,4.3,2,5,1968,1.0,1.0,0.42857142857142855,0.0
2023,DEN,2023-12-03,0,0,17,22,164,1,3,3,7.2,57.7,49.7,3.9,1,6,1616,1.0,1.0,0.0,1.0
2023,DEN,2023-12-10,1,0,24,7,216,2,1,2,6.8,63.6,90.0,3.4,1,7,2009,1.0,1.0,0.47058823529411764,0.0
2023,DEN,2023-12-16,0,0,17,42,204,1,0,2,7.0,56.3,85.9,3.0,1,5,1722,1.0,1.0,0.38461538461538464,1.0
2023,DEN,2023-12-24,0,0,23,26,193,2,0,5,6.4,67.6,98.1,3.6,1,7,1878,1.0,0.0,0.3076923076923077,0.5
2023,DEN,2023-12-31,1,0,16,9,212,1,0,2,7.0,62.5,92.2,3.1,0,5,2026,1.0,0.75,0.4117647058823529,1.0
2023,DEN,2023-01-07,0,0,14,27,238,1,1,5,8.0,58.8,77.8,2.4,1,5,1764,1.0,0.0,0.3333333333333333,0.6666666666666666
2023,DET,2023-09-07,1,0,21,20,250,1,0,1,7.2,62.9,93.7,3.5,1,5,1958,1.0,0.0,0.3333333333333333,0.3333333333333333
2023,DET,2023-09-17,0,1,31,37,316,3,1,2,9.2,80.0,121.0,3.8,1,1,1848,1.0,1.0,0.5454545454545454,0.3333333333333333
2023,DET,2023-09-24,1,0,20,6,243,1,1,0,7.4,66.7,85.8,3.7,1,6,1977,1.0,1.0,0.2857142857142857,0.0
2023,DET,2023-09-28,1,0,34,20,190,1,1,2,7.5,67.9,83.9,4.9,3,4,2278,1.0,1.0,0.4117647058823529,1.0
2023,DET,2023-10-08,1,0,42,24,218,3,0,2,8.4,71.4,129.8,5.3,3,2,1875,1.0,0.0,0.4,0.5
2023,DET,2023-10-15,1,0,20,6,340,2,0,3,8.0,68.2,106.2,1.8,0,4,2190,1.0,0.6666666666666666,0.5625,0.0
2023,DET,2023-10-22,0,0,6,38,253,0,1,5,5.4,62.3,66.0,6.0,1,4,1778,0.0,0.0,0.3125,0.3333333333333333
2023,DET,2023-10-30,1,0,26,14,264,1,1,1,7.4,70.3,88.1,5.2,1,1,2373,1.0,0.8,0.42857142857142855,1.0
2023,DET,2023-11-12,1,0,41,38,333,2,0,0,10.1,69.7,122.4,6.5,3,1,1834,1.0,1.0,0.3076923076923077,0.8
